x,y,angle
542,34,251,569,39,256
542,34,240
541,35,222
541,36,210
541,37,199
541,38,190
-1,-1,-1,569,39,175
536,39,166
530,41,175
-1,-1,-1
515,44,174
507,46,174
496,48,166
-1,-1,-1
475,52,169
464,55,166
-1,-1,-1
449,58,169
441,59,161
-1,-1,-1
426,63,161
418,65,164
410,67,164
402,69,161
395,71,169
-1,-1,-1
372,77,164
-1,-1,-1
349,83,164
-1,-1,-1
331,88,164
326,89,164
316,92,164
-1,-1,-1
300,96,161
293,98,158
-1,-1,-1
261,107,132
254,109,164
-1,-1,-1
232,116,169
225,118,147
217,120,166
209,122,153
201,125,166
-1,-1,-1
187,129,166
179,131,161
172,133,161
165,135,164,208,70,175
161,136,160
-1,-1,-1
161,136,166
161,135,191
161,134,199
161,133,204
161,133,227
-1,-1,-1,208,70,286
164,131,270
164,128,276
-1,-1,-1
165,115,270
165,107,270
165,99,276
166,92,270
166,84,275
167,76,265
167,68,270
167,60,270
167,52,272
168,42,270
168,39,270
168,37,270,232,0,286
168,37,281
169,37,284
170,37,300
170,37,305
-1,-1,-1
172,40,6
172,40,19
172,41,30,232,0,54
171,41,30
173,42,38
178,46,38
184,50,38
190,55,38
195,59,30
201,64,39
209,70,41
213,73,30
221,79,30
227,84,41
234,89,34
240,93,38
244,96,38
-1,-1,-1
264,112,30
270,117,31
276,122,55
-1,-1,-1
289,131,25
-1,-1,-1
302,140,34
308,145,38
-1,-1,-1
326,160,27
-1,-1,-1
339,169,30
345,174,30
352,179,38
-1,-1,-1
364,188,30
-1,-1,-1
384,204,34
392,209,38
398,214,22
405,218,30
-1,-1,-1
424,232,22
431,236,30
437,241,30
-1,-1,-1
451,250,22
-1,-1,-1
464,258,27
-1,-1,-1,439,280,54
472,263,22
471,263,30
-1,-1,-1
470,264,60
-1,-1,-1
468,265,98,439,280,123
468,265,114
-1,-1,-1
468,267,104
467,273,98
466,280,96
-1,-1,-1
464,295,96
463,304,98
462,311,112
-1,-1,-1
460,324,98,409,325,123
460,324,85
460,324,90
460,324,109
459,323,120
458,323,130
457,323,150
-1,-1,-1
456,320,199
456,319,202,409,325,232
456,319,210
452,317,202
446,314,202
439,311,210
-1,-1,-1
424,304,210
417,301,191
410,297,203
402,294,202
395,290,202
388,287,210
380,283,202
373,280,210
365,276,199
358,273,210
351,269,201
-1,-1,-1
322,256,202
-1,-1,-1
261,227,202
-1,-1,-1
247,220,202
-1,-1,-1
232,213,199
225,210,180
218,207,202
212,203,200
204,200,207
197,197,202
-1,-1,-1
183,190,210
-1,-1,-1
169,183,210
164,181,210,227,89,232
164,181,202
164,181,211
164,180,218
-1,-1,-1
166,179,251
-1,-1,-1
167,178,281
168,179,284
169,179,300,227,89,343
169,179,315
-1,-1,-1
170,178,315
174,174,315
179,168,315
185,162,315
190,156,315
196,150,308
-1,-1,-1
212,134,308
217,128,315
222,123,305
-1,-1,-1
256,86,308
261,80,315
-1,-1,-1
277,62,308
282,56,315
287,51,307
-1,-1,-1
296,42,315,395,38,343
297,41,308
297,42,323
297,42,341
297,43,349
297,44,0
297,45,36,395,38,63
297,45,30
298,46,22
304,49,30
311,53,22
318,57,22
325,61,22
332,64,30
-1,-1,-1
345,72,23
352,76,22
359,79,30
366,83,22
-1,-1,-1
387,95,15
393,98,27
-1,-1,-1
407,106,19
414,110,22
421,114,22
428,117,30
435,121,30
442,125,30
449,129,30
456,133,22
-1,-1,-1
470,140,30
479,145,27
486,149,27
494,153,22
501,157,22
508,160,30
-1,-1,-1
522,168,22
529,172,19
536,176,14
543,179,14
550,183,14
557,186,22
565,190,22
572,194,14
580,197,22
587,201,22
593,204,22,535,316,63
-1,-1,-1
597,206,22
-1,-1,-1
596,207,30
596,208,63
595,208,71
595,208,84,535,316,123
595,209,84
595,213,82
595,219,79
-1,-1,-1
598,235,82
599,243,82
-1,-1,-1
601,258,74
603,266,82
-1,-1,-1
605,282,82
-1,-1,-1
607,298,71
609,306,74
611,314,84
612,323,82
613,331,82
615,338,84
616,347,82
617,355,71
618,363,82
-1,-1,-1
622,382,76
623,387,74
-1,-1,-1
625,400,74,440,464,123
-1,-1,-1
625,401,74
-1,-1,-1
624,401,109,440,464,150
623,401,104
624,401,109
-1,-1,-1
